lab_sample_num, drainage_cl
96P0178,excessively
96P0179,well
96P0179,well
40A1172,
40A1172,
40A1173,somewhat excessively
40A1173,somewhat excessively
40A1174,
40A1175,
40A1176,
40A1176,
40A1177,
96P0380,well
97P0507,well
93P0831,moderately well
93P0831,moderately well
93P0832,somewhat poorly
93P0832,somewhat poorly
93P0833,somewhat poorly
93P0833,somewhat poorly
93P0834,moderately well
93P0834,moderately well
93P0837,poorly
93P0837,poorly
93P0838,poorly
93P0838,poorly
96P0009,poorly
96P0009,poorly
96P0010,poorly
96P0010,poorly
96P0011,somewhat excessively
96P0012,somewhat excessively
93P0071,poorly
93P0071,poorly
93P0072,poorly
93P0072,poorly
93P0074,moderately well
93P0074,moderately well
40A0483,moderately well
40A0483,moderately well
95P0318,moderately well
95P0319,moderately well
95P0321,moderately well
95P0505,well
95P0505,well
95P0509,well
96P0008,moderately well
96P0008,moderately well
96P0298,excessively
96P0298,excessively
95P0317,excessively
93P0835,somewhat poorly
40A5414,well
40A5411,moderately well
40A5412,well
93P0073,poorly
93P0073,poorly
95P0497,well
93P0836,somewhat poorly
40A5413,well
95P0607,well
01N0097,well
01N0097,well
01N0102,
01N0102,
01N0107,well
01N0107,well
01N0112,
01N0112,
01N0113,
01N0113,
01N0114,
01N0114,
01N0115,well
01N0115,well
00P0272,excessively
00P0272,excessively
00P0742,well
00P0743,well
00P0743,well
00P0744,moderately well
00P0744,moderately well
00P0502,well
00P0502,well
00P0503,moderately well
00P0503,moderately well
00P0016,well
00P0016,well
00P0021,well
00P0021,well
00P0006,well
00P0006,well
00P0001,well
00P0001,well
00P0011,well
00P0011,well
99P0561,poorly
99P0561,poorly
99P0559,well
99P0559,well
99P0552,excessively
99P0552,excessively
99P0557,well
99P0557,well
99P0555,poorly
99P0555,poorly
99P0558,moderately well
99P0558,moderately well
99P0553,well
99P0553,well
99P0556,moderately well
99P0556,moderately well
00P1240,
00P0092,
00P0092,
00P0091,
00P0091,
00P0094,
00P0094,
00P0096,well
00P0096,well
00P0097,well
00P0097,well
00P0098,well
00P0098,well
00P0099,well
00P0099,well
00P1332,
00P0095,
00P0095,
00P1059,very poorly
00P1059,very poorly
00P1060,
00P1060,
00P1058,very poorly
00P1058,very poorly
00P1333,very poorly
01P0063,well
00P0942,moderately well
00P0942,moderately well
00P0943,well
00P0943,well
00P1343,well
00P0610,poorly
00P0611,poorly
00P0611,poorly
00P0612,poorly
00P0613,moderately well
00P0614,very poorly
00P0200,well
00P0200,well
00P0199,well
00P0199,well
00P0201,well
00P0201,well
00P0202,well
00P0202,well
00P0203,well
00P0203,well
00P0204,well
00P0204,well
00P0548,well
00P0550,moderately well
00P0549,poorly
00P0549,poorly
00P0551,somewhat excessively
00P0552,moderately well
01P0090,well
01P0090,well
01P0089,well
00P0198,well
00P0198,well
99P0562,somewhat poorly
99P0562,somewhat poorly
99P0563,moderately well
99P0563,moderately well
99P0565,well
99P0565,well
99P0569,somewhat poorly
99P0568,very poorly
98P0381,moderately well
98P0352,moderately well
98P0352,moderately well
98P0353,well
98P0353,well
98P0354,well
98P0354,well
98P0355,well
98P0355,well
98P0356,well
98P0356,well
98P0357,well
98P0357,well
98P0358,somewhat excessively
98P0358,somewhat excessively
97P0570,moderately well
97P0513,
99P0570,very poorly
99P0570,very poorly
99P0571,poorly
99P0571,poorly
99P0572,poorly
99P0572,poorly
97P0569,well
97P0569,well
97P0512,
97P0567,
98P0590,moderately well
97P0565,
97P0572,excessively
97P0568,poorly
97P0568,poorly
97P0566,
98P0349,moderately well
98P0349,moderately well
98P0350,moderately well
98P0350,moderately well
99P0066,
98P0351,well
98P0351,well
97P0571,well
97P0511,
97P0573,somewhat excessively
97P0573,somewhat excessively
97P0574,poorly
98P0348,well
98P0348,well
99P0064,
99P0062,moderately well
99P0065,
99P0067,
99P0063,poorly
99P0218,
99P0218,
99P0217,
99P0219,
99P0219,
99P0220,
99P0220,
99P0221,
99P0221,
99P0222,
99P0222,
99P0223,moderately well
99P0223,moderately well
99P0560,well
99P0560,well
40A4169,well
40A4169,well
40A4174,well
40A4175,well
40A4173,
40A4172,well
40A4167,well
40A4167,well
40A4165,well
40A4165,well
40A4170,well
40A4176,well
40A4171,well
40A4168,well
40A4168,well
40A4166,well
40A4166,well
40A4163,well
40A4163,well
40A4164,well
40A4177,well
40A5212,
40A5213,
40A5214,
40A5215,
40A1178,well
40A1178,well
40A1179,well
40A1180,well
40A1180,well
40A5312,well
40A5312,well
40A1201,
40A1200,
40A1287,well
40A1287,well
82P0479,somewhat excessively
82P0479,somewhat excessively
40A4241,moderately well
40A4241,moderately well
40A4242,moderately well
40A4242,moderately well
40A4243,moderately well
40A4243,moderately well
40A4244,well
40A4244,well
40A1202,
40A1202,
40A1203,
40A1203,
40A1286,moderately well
40A1286,moderately well
82P0474,well
82P0474,well
82P0475,well
82P0475,well
82P0476,well
82P0476,well
82P0477,well
82P0477,well
82P0478,well
82P0478,well
40A0168,
40A1285,well
40A1272,moderately well
40A1272,moderately well
40A1273,moderately well
40A1274,moderately well
40A1275,poorly
40A1276,very poorly
40A1276,very poorly
40A1277,poorly
40A1278,moderately well
40A1279,moderately well
40A1204,moderately well
40A1205,well
40A1206,well
40A1207,well
40A1208,moderately well
40A1209,well
40A1282,moderately well
40A1282,moderately well
40A1245,somewhat poorly
