smp id,Dupl,area code,taxonomic order,horz desgn master,lay depth to top,lay depth to bottom,MGMT_lable,Measured Active Carbon,pH,Clay,Sand,Silt,Est Org C,Total Carbon
89135,U,UT,Aridisols,A,2,8,R,181,8.4,7.1,77.4,15.5,0.2072,0.7
89137,U,UT,Aridisols,A,0,2,R,542,8.3,4.1,79.7,16.2,0.8968,1.3
89138,U,UT,Aridisols,A,2,7,R,253,8.4,6.1,78.0,15.9,0.2864,0.7
89140,U,UT,Aridisols,A,0,2,R,361,8.1,3.5,85.6,10.9,0.344,0.9
89141,U,UT,Aridisols,A,2,11,R,180,8.6,4.0,88.1,7.9,0.1696,0.8
89143,U,UT,Aridisols,A,0,2,R,505,8.0,3.9,86.6,9.5,0.6052,1.1
89144,U,UT,Aridisols,A,2,7,R,216,8.4,4.9,83.9,11.2,0.2676,0.9
89146,U,UT,Aridisols,A,0,2,R,325,8.1,6.6,69.7,23.7,0.3004,1.3
89147,U,UT,Aridisols,A,2,4,R,289,8.6,8.6,58.5,32.9,0.3116,1.9
89148,U,UT,Aridisols,A,4,11,R,363,8.4,15.6,22.2,62.2,0.416,2.6
89151,U,UT,Aridisols,A,0,2,R,469,8.0,4.2,87.1,8.7,0.8656,1.4
89152,U,UT,Aridisols,A,2,11,R,361,8.5,5.1,87.7,7.2,0.418,1.0
89154,U,UT,Aridisols,A,0,2,R,469,8.1,3.5,88.6,7.9,0.6384,1.0
89155,U,UT,Aridisols,A,2,10,R,433,8.4,4.8,85.1,10.1,0.4372,0.8
89158,U,UT,Aridisols,A,0,2,R,253,8.3,6.6,80.2,13.2,0.2888,0.7
89159,U,UT,Aridisols,A,2,6,R,181,8.6,8.9,78.0,13.1,0.1928,0.6
89161,U,UT,Aridisols,A,0,2,R,613,8.2,7.1,80.0,12.9,0.9688,1.4
89162,U,UT,Aridisols,A,2,10,R,433,8.3,5.1,82.4,12.5,0.552,0.9
89164,U,UT,Aridisols,A,0,2,R,469,8.0,2.0,88.9,9.1,0.6096,0.9
89165,U,UT,Aridisols,A,2,10,R,325,8.4,3.9,85.6,10.5,0.3556,0.8
89167,U,UT,Aridisols,A,0,2,R,469,8.3,8.3,79.9,11.8,0.3656,1.3
89168,U,UT,Aridisols,A,2,8,R,144,8.7,5.7,70.8,23.5,0.2008,1.2
89170,U,UT,Aridisols,A,0,2,R,361,8.2,6.4,71.4,22.2,0.3976,1.3
89171,U,UT,Aridisols,A,2,7,R,253,8.5,9.1,61.1,29.8,0.3188,1.6
89173,U,UT,Aridisols,A,0,2,R,397,8.2,4.7,79.3,16.0,0.454,1.3
89174,U,UT,Aridisols,A,2,7,R,217,8.6,4.4,78.4,17.2,0.2756,1.2
89176,U,UT,Aridisols,A,0,2,R,397,8.1,3.1,77.9,19.0,0.4716,1.1
89177,U,UT,Aridisols,A,2,8,R,253,8.4,3.5,75.0,21.5,0.2768,1.0
92263,U,MO,Alfisols,A,0,5,W,675,,,,,7.2,7.2
92269,U,MO,Alfisols,A,0,6,W,659,,,,,4.5,4.5
92274,U,MO,Alfisols,A,0,7,W,592,,,,,3.13,3.1
92280,U,MO,Alfisols,A,0,13,P,571,,,,,1.56,1.6
92284,U,MO,Alfisols,A,0,17,P,601,,,,,1.74,1.7
92289,U,MO,Alfisols,A,0,8,P,487,,,,,1.52,1.5
92290,U,MO,Alfisols,A,8,24,P,293,,,,,0.87,0.9
92294,U,MO,Alfisols,A,0,8,P,659,,,,,3.01,3.0
92299,U,MO,Alfisols,A,0,8,P,688,,,,,2.64,2.6
92304,U,MO,Alfisols,A,0,10,P,597,,,,,2.23,2.2
92309,U,MO,Alfisols,A,0,9,W,529,,,,,2.18,2.2
92315,U,MO,Alfisols,A,0,6,W,412,,,,,1.71,1.7
92320,U,MO,Alfisols,A,0,7,W,379,,,,,1.49,1.5
92326,U,MO,Alfisols,A,0,8,W,576,,,,,2.46,2.5
92331,U,MO,Alfisols,A,0,9,W,629,,,,,2.99,3.0
92337,U,MO,Alfisols,A,0,10,W,443,,,,,2.32,2.3
93007,U,MO,Alfisols,A,0,10,P,1564,,,,,1.96,2.0
93016,U,MO,Alfisols,A,0,9,P,2152,,,,,2.37,2.4
93017,U,MO,Alfisols,AB,9,19,P,547,,,,,0.94,0.9
93026,U,MO,Alfisols,A,0,20,P,1168,,,,,1.42,1.4
93033,U,MO,Alfisols,A,0,8,W,1160,,,,,2.45,2.4
93043,U,MO,Alfisols,A,0,7,W,1352,,,,,2.84,2.8
93050,U,MO,Alfisols,A,0,6,W,2332,,,,,4.17,4.2
93059,U,MO,Alfisols,A,0,14,P,1142,,,,,1.73,1.7
93066,U,MO,Alfisols,A,0,13,P,2338,,,,,2.61,2.6
93073,U,MO,Alfisols,A,0,17,P,1036,,,,,1.5,1.5
93080,U,MO,Alfisols,A,0,9,W,665,,,,,1.21,1.2
93089,U,MO,Alfisols,A,0,8,W,924,,,,,1.56,1.6
93098,U,MO,Alfisols,A,0,8,W,1034,,,,,1.77,1.8
93107,U,MO,Alfisols,A,0,10,P,1795,,,,,2.21,2.2
93108,U,MO,Alfisols,A,10,18,P,546,,,,,0.82,0.8
93118,U,MO,Alfisols,A,0,12,P,1980,,,,,2.41,2.4
93119,U,MO,Alfisols,A,12,20,P,656,,,,,0.96,1.0
93128,U,MO,Alfisols,A,0,10,P,1293,,,,,1.84,1.8
93129,U,MO,Alfisols,A,10,17,P,657,,,,,0.87,0.9
116517,U,PR,vertisols,A,0,15,,533,8.2,48.1,18.8,33.1,1.6128,2.0
116518,U,PR,vertisols,A,0,15,,567,8.3,42.4,25.6,32.0,1.5004,1.9
116519,U,PR,vertisols,A,0,15,,528,8.4,39.2,27.1,33.7,1.2864,2.0
116520,U,PR,vertisols,A,0,15,,567,8.4,43.7,22.6,33.7,1.5812,1.9
116521,U,PR,vertisols,A,0,15,,529,8.5,44.2,23.0,32.8,1.376,1.7
116522,U,PR,vertisols,A,0,15,,451,8.5,39.3,25.6,35.1,1.1312,1.7
116523,U,PR,vertisols,A,0,15,,563,7.9,34.3,43.8,21.9,1.5372,1.6
116524,U,PR,vertisols,A,0,15,,605,8.4,38.3,32.9,28.8,1.9732,3.0
116525,U,PR,vertisols,A,0,15,,607,8.4,44.7,25.0,30.3,1.7988,2.9
116526,U,PR,vertisols,A,0,15,,647,8.4,39.3,29.5,31.2,1.926,2.9
116527,U,PR,vertisols,A,0,15,,570,8.1,42.8,24.9,32.3,1.6744,2.6
116528,U,PR,vertisols,A,0,15,,489,8.2,35.9,32.5,31.6,1.422,2.6
116529,U,PR,vertisols,A,0,15,,492,8.4,36.5,36.8,26.7,1.5944,2.2
116530,U,PR,vertisols,A,0,15,,567,7.9,34.0,41.3,24.7,1.592,1.6
122004,U,SD,mollisols,A,0,7,,590,7.5,28.0,24.3,47.7,2.4428,2.5
122072,U,SD,mollisols,A,2,4,,512,6.8,18.0,66.4,15.6,2.02,2.0
122073,U,SD,mollisols,A,4,7,,917,6.0,17.9,33.1,49.0,6.58,6.6
122009,U,SD,mollisols,A,0,7,,503,6.5,16.1,36.2,47.7,2.58,2.6
122076,U,SD,mollisols,A,1,3,,436,7.2,18.7,66.9,14.4,1.33,1.3
122077,U,SD,mollisols,A,3,7,,361,7.2,19.2,65.5,15.3,1.21,1.2
122084,U,SD,mollisols,A,0,2,,510,7.2,20.3,65.1,14.6,1.85,1.9
122085,U,SD,mollisols,A,2,5,,401,7.6,20.0,65.8,14.2,1.3164,1.3
122086,U,SD,mollisols,A,5,10,,331,7.8,20.9,64.6,14.5,1.1588,1.2
122664,U,NM,aridisols,A,11,22,,109,8.5,9.6,84.8,5.6,0.1888,0.4
122675,U,,,A,9,18,,109,8.5,11.0,83.4,5.6,0.2056,0.2
122678,U,,,A,0,2,,145,7.9,6.6,87.6,5.8,0.298,0.3
122679,U,,,A,2,9,,91,7.9,8.5,84.6,6.9,0.1628,0.2
122680,U,,,A,9,19,,109,8.2,10.0,84.1,5.9,0.18,0.2
122684,U,,,A,11,18,,91,8.3,11.1,84.4,4.5,0.1776,0.2
122688,U,,,A,6,20,,109,8.4,10.3,84.2,5.5,0.1932,0.2
122691,U,,,A,0,3,,145,7.8,6.4,88.4,5.2,0.2864,0.3
122692,U,,,A,3,10,,36,7.9,6.0,88.0,6.0,0.1664,0.2
129357,U,OR,inceptisols,O,0,5,,6815,,,,,36.3,36.3
129358,U,OR,inceptisols,A,5,13,,525,5.9,30.7,20.4,48.9,5.27,5.3
129359,U,OR,inceptisols,A,13,19,,412,5.7,28.9,19.7,51.4,3.36,3.4
129366,U,OR,andisols,O,0,3,,4862,,,,,24.26,24.3
129367,U,OR,andisols,A,3,10,,494,5.3,58.5,10.8,30.7,5.02,5.0
129376,U,OR,ultisols,O,0,3,,4657,,,,,20.79,20.8
129377,U,OR,ultisols,A,3,10,,526,5.9,30.8,21.2,48.0,5.82,5.8
129386,U,OR,inceptisols,O,0,3,,6212,,,,,36.05,36.1
129387,D,OR,inceptisols,A,3,14,,2213,5.9,23.7,24.6,51.7,6.86,6.9
129388,U,OR,inceptisols,AB,14,27,,223,5.3,27.9,14.2,57.9,1.57,1.6
129395,U,OR,andisols,O,0,1,,5720,,,,,37.15,37.1
129396,D,OR,andisols,A,1,9,,1856,5.9,23.3,21.7,55.0,4.51,4.5
129403,U,OR,inceptisols,O,0,2,,2918,,,,,19.22,19.2
129404,D,OR,inceptisols,A,2,12,,2182,5.3,37.6,9.3,53.1,7.58,7.6
129405,U,OR,inceptisols,AB,12,20,,485,5.2,36.0,8.7,55.3,4.99,5.0
129413,U,OR,ultisols,O,0,3,,6097,,,,,29.51,29.5
129414,U,OR,ultisols,A,3,11,,411,6.3,20.7,33.5,45.8,2.57,2.6
129422,U,OR,ultisols,O,0,3,,5638,,,,,35.2,35.2
129423,D,OR,ultisols,A,3,9,,2205,5.8,18.9,20.9,60.2,7.13,7.1
129428,U,OR,ultisols,O,0,3,,5329,,,,,35.54,35.5
129429,D,OR,ultisols,A,3,11,,1469,5.5,37.4,18.1,44.5,8.25,8.3
129430,U,OR,ultisols,A,11,23,,488,5.5,41.8,18.3,39.9,5.36,5.4
129437,U,OR,inceptisols,O,0,2,,5309,,,,,36.32,36.3
129438,U,OR,inceptisols,A,2,8,,523,6.0,20.4,41.2,38.4,6.69,6.7
129439,U,OR,inceptisols,AB,8,19,,409,5.7,25.2,30.0,44.8,4.47,4.5
129444,U,OR,ultisols,O,0,2,,5657,,,,,38.18,38.2
129445,U,OR,ultisols,A,2,10,,558,6.2,27.4,15.2,57.4,6.41,6.4
129446,U,OR,ultisols,AB,10,19,,445,6.2,23.3,19.2,57.5,3.69,3.7
129864,U,SD,mollisols,A,0,5,,552,6.7,21.6,55.9,22.5,3.03,3.0
129876,U,SD,mollisols,A,0,15,,330,6.7,24.8,43.3,31.9,1.05,1.0
130146,U,TX,Alfisols,A,0,2,R,382,7.8,14.0,67.3,18.7,2.162,2.5
130147,U,TX,Alfisols,A,2,17,R,273,7.9,15.3,68.0,16.7,0.9796,0.9
133730,U,TX,Alfisols,O,0,3,R,3908,6.7,,,,19.72,19.7
130151,U,TX,Alfisols,A,3,5,R,437,7.2,15.7,65.9,18.4,2.022,2.0
130152,U,TX,Alfisols,A,5,13,R,291,7.7,14.1,68.3,17.6,1.1608,1.2
130156,U,TX,Alfisols,A,0,2,R,309,7.6,13.7,67.5,18.8,1.0756,1.1
130157,U,TX,Alfisols,A,2,25,R,182,8.1,13.4,71.9,14.7,0.6996,0.7
130159,U,TX,Alfisols,A,0,2,R,364,7.0,15.1,60.1,24.8,1.36,1.4
130160,U,TX,Alfisols,A,2,7,R,218,7.0,14.1,67.0,18.9,0.71,0.7
