smp_id,Grind,prep_name,smp_wt,wt_class,AC,Conc,Validation,Total.Carbon,Clay,Sand ,pH_H2O,pH_CaCl2
232345,fine_lt80um,"S Prep, Fine Grind Preparation",0.5,0.5,1108,0.00017,valid,1.18,34.4,29.4,6.8,6.6
232345,fine_lt80um,"S Prep, Fine Grind Preparation",0.501,0.5,1106,0.00017,valid,1.18,34.4,29.4,6.8,6.6
232345,fine_lt80um,"S Prep, Fine Grind Preparation",0.997,1,926,0.00015,valid,1.18,34.4,29.4,6.8,6.6
232345,fine_lt80um,"S Prep, Fine Grind Preparation",0.998,1,925,0.00015,valid,1.18,34.4,29.4,6.8,6.6
232345,fine_lt80um,"S Prep, Fine Grind Preparation",1,1,923,0.00015,valid,1.18,34.4,29.4,6.8,6.6
232345,fine_lt80um,"S Prep, Fine Grind Preparation",2.498,2.5,739,0.0001,valid,1.18,34.4,29.4,6.8,6.6
232345,fine_lt80um,"S Prep, Fine Grind Preparation",2.502,2.5,812,0.00009,valid,1.18,34.4,29.4,6.8,6.6
232345,fine_lt80um,"S Prep, Fine Grind Preparation",2.504,2.5,811,0.00009,valid,1.18,34.4,29.4,6.8,6.6
232345,fine_lt80um,"S Prep, Fine Grind Preparation",4.999,5,665,0.00002,valid,1.18,34.4,29.4,6.8,6.6
232345,fine_lt80um,"S Prep, Fine Grind Preparation",4.999,5,628,0.00003,valid,1.18,34.4,29.4,6.8,6.6
232345,fine_lt80um,"S Prep, Fine Grind Preparation",5.001,5,664,0.00002,valid,1.18,34.4,29.4,6.8,6.6
232345,lt2mm,"S Prep, Working Pint Preparation",0.25,0.25,2215,0.00017,valid,1.18,34.4,29.4,6.8,6.6
232345,lt2mm,"S Prep, Working Pint Preparation",0.251,0.25,1471,0.00018,invalid,1.18,34.4,29.4,6.8,6.6
232345,lt2mm,"S Prep, Working Pint Preparation",0.251,0.25,1471,0.00018,invalid,1.18,34.4,29.4,6.8,6.6
232345,lt2mm,"S Prep, Working Pint Preparation",0.498,0.5,1112,0.00017,valid,1.18,34.4,29.4,6.8,6.6
232345,lt2mm,"S Prep, Working Pint Preparation",0.501,0.5,1106,0.00017,valid,1.18,34.4,29.4,6.8,6.6
232345,lt2mm,"S Prep, Working Pint Preparation",0.503,0.5,734,0.00018,invalid,1.18,34.4,29.4,6.8,6.6
232345,lt2mm,"S Prep, Working Pint Preparation",1,1,1292,0.00013,valid,1.18,34.4,29.4,6.8,6.6
232345,lt2mm,"S Prep, Working Pint Preparation",1,1,923,0.00015,valid,1.18,34.4,29.4,6.8,6.6
232345,lt2mm,"S Prep, Working Pint Preparation",1,1,1108,0.00014,valid,1.18,34.4,29.4,6.8,6.6
232345,lt2mm,"S Prep, Working Pint Preparation",2.499,2.5,887,0.00008,valid,1.18,34.4,29.4,6.8,6.6
232345,lt2mm,"S Prep, Working Pint Preparation",2.5,2.5,812,0.00009,valid,1.18,34.4,29.4,6.8,6.6
232345,lt2mm,"S Prep, Working Pint Preparation",2.501,2.5,738,0.0001,valid,1.18,34.4,29.4,6.8,6.6
232345,lt2mm,"S Prep, Working Pint Preparation",4.998,5,554,0.00005,valid,1.18,34.4,29.4,6.8,6.6
232345,lt2mm,"S Prep, Working Pint Preparation",5,5,517,0.00006,valid,1.18,34.4,29.4,6.8,6.6
232345,lt2mm,"S Prep, Working Pint Preparation",5.001,5,517,0.00006,valid,1.18,34.4,29.4,6.8,6.6
232164,fine_lt80um,"S Prep, Fine Grind Preparation",0.25,0.25,1476,0.00018,invalid,1.92,24.3,13.7,6.2,5.9
232164,fine_lt80um,"S Prep, Fine Grind Preparation",0.251,0.25,2205,0.00017,valid,1.92,24.3,13.7,6.2,5.9
232164,fine_lt80um,"S Prep, Fine Grind Preparation",0.253,0.25,1458,0.00018,invalid,1.92,24.3,13.7,6.2,5.9
232164,fine_lt80um,"S Prep, Fine Grind Preparation",0.497,0.5,1485,0.00016,valid,1.92,24.3,13.7,6.2,5.9
232164,fine_lt80um,"S Prep, Fine Grind Preparation",0.5,0.5,1476,0.00016,valid,1.92,24.3,13.7,6.2,5.9
232164,fine_lt80um,"S Prep, Fine Grind Preparation",0.503,0.5,1467,0.00016,valid,1.92,24.3,13.7,6.2,5.9
232164,fine_lt80um,"S Prep, Fine Grind Preparation",0.998,1,1294,0.00013,valid,1.92,24.3,13.7,6.2,5.9
232164,fine_lt80um,"S Prep, Fine Grind Preparation",0.999,1,1293,0.00013,valid,1.92,24.3,13.7,6.2,5.9
232164,fine_lt80um,"S Prep, Fine Grind Preparation",1.002,1,1105,0.00014,valid,1.92,24.3,13.7,6.2,5.9
232164,fine_lt80um,"S Prep, Fine Grind Preparation",2.498,2.5,1034,0.00006,valid,1.92,24.3,13.7,6.2,5.9
232164,fine_lt80um,"S Prep, Fine Grind Preparation",2.499,2.5,1033,0.00006,valid,1.92,24.3,13.7,6.2,5.9
232164,fine_lt80um,"S Prep, Fine Grind Preparation",2.501,2.5,1033,0.00006,valid,1.92,24.3,13.7,6.2,5.9
232164,fine_lt80um,"S Prep, Fine Grind Preparation",4.998,5,738,0,invalid,1.92,24.3,13.7,6.2,5.9
232164,fine_lt80um,"S Prep, Fine Grind Preparation",5.001,5,738,0,invalid,1.92,24.3,13.7,6.2,5.9
232164,fine_lt80um,"S Prep, Fine Grind Preparation",5.003,5,737,0,invalid,1.92,24.3,13.7,6.2,5.9
232164,lt2mm,"S Prep, Working Pint Preparation",0.251,0.25,1470,0.00018,invalid,1.92,24.3,13.7,6.2,5.9
232164,lt2mm,"S Prep, Working Pint Preparation",0.252,0.25,2196,0.00017,valid,1.92,24.3,13.7,6.2,5.9
232164,lt2mm,"S Prep, Working Pint Preparation",0.254,0.25,3631,0.00015,valid,1.92,24.3,13.7,6.2,5.9
232164,lt2mm,"S Prep, Working Pint Preparation",0.5,0.5,1107,0.00017,valid,1.92,24.3,13.7,6.2,5.9
232164,lt2mm,"S Prep, Working Pint Preparation",0.501,0.5,1105,0.00017,valid,1.92,24.3,13.7,6.2,5.9
232164,lt2mm,"S Prep, Working Pint Preparation",0.502,0.5,1837,0.00015,valid,1.92,24.3,13.7,6.2,5.9
232164,lt2mm,"S Prep, Working Pint Preparation",0.998,1,924,0.00015,valid,1.92,24.3,13.7,6.2,5.9
232164,lt2mm,"S Prep, Working Pint Preparation",1,1,1107,0.00014,valid,1.92,24.3,13.7,6.2,5.9
232164,lt2mm,"S Prep, Working Pint Preparation",1.002,1,1105,0.00014,valid,1.92,24.3,13.7,6.2,5.9
232164,lt2mm,"S Prep, Working Pint Preparation",2.497,2.5,739,0.0001,valid,1.92,24.3,13.7,6.2,5.9
232164,lt2mm,"S Prep, Working Pint Preparation",2.498,2.5,812,0.00009,valid,1.92,24.3,13.7,6.2,5.9
232164,lt2mm,"S Prep, Working Pint Preparation",2.502,2.5,737,0.0001,valid,1.92,24.3,13.7,6.2,5.9
232164,lt2mm,"S Prep, Working Pint Preparation",4.997,5,591,0.00004,valid,1.92,24.3,13.7,6.2,5.9
232164,lt2mm,"S Prep, Working Pint Preparation",4.999,5,590,0.00004,valid,1.92,24.3,13.7,6.2,5.9
232164,lt2mm,"S Prep, Working Pint Preparation",5,5,590,0.00004,valid,1.92,24.3,13.7,6.2,5.9
232158,fine_lt80um,"S Prep, Fine Grind Preparation",0.248,0.25,753,0.00019,invalid,0.73,38,11,7.6,7.1
232158,fine_lt80um,"S Prep, Fine Grind Preparation",0.252,0.25,741,0.00019,invalid,0.73,38,11,7.6,7.1
232158,fine_lt80um,"S Prep, Fine Grind Preparation",0.253,0.25,738,0.00019,invalid,0.73,38,11,7.6,7.1
232158,fine_lt80um,"S Prep, Fine Grind Preparation",0.497,0.5,376,0.00019,invalid,0.73,38,11,7.6,7.1
232158,fine_lt80um,"S Prep, Fine Grind Preparation",0.499,0.5,374,0.00019,invalid,0.73,38,11,7.6,7.1
232158,fine_lt80um,"S Prep, Fine Grind Preparation",0.503,0.5,371,0.00019,invalid,0.73,38,11,7.6,7.1
232158,fine_lt80um,"S Prep, Fine Grind Preparation",0.998,1,374,0.00018,invalid,0.73,38,11,7.6,7.1
232158,fine_lt80um,"S Prep, Fine Grind Preparation",1.001,1,373,0.00018,invalid,0.73,38,11,7.6,7.1
232158,fine_lt80um,"S Prep, Fine Grind Preparation",1.004,1,372,0.00018,invalid,0.73,38,11,7.6,7.1
232158,fine_lt80um,"S Prep, Fine Grind Preparation",2.498,2.5,374,0.00015,valid,0.73,38,11,7.6,7.1
232158,fine_lt80um,"S Prep, Fine Grind Preparation",2.502,2.5,299,0.00016,valid,0.73,38,11,7.6,7.1
232158,fine_lt80um,"S Prep, Fine Grind Preparation",2.503,2.5,373,0.00015,valid,0.73,38,11,7.6,7.1
232158,fine_lt80um,"S Prep, Fine Grind Preparation",4.997,5,299,0.00012,valid,0.73,38,11,7.6,7.1
232158,fine_lt80um,"S Prep, Fine Grind Preparation",4.999,5,299,0.00012,valid,0.73,38,11,7.6,7.1
232158,fine_lt80um,"S Prep, Fine Grind Preparation",5.001,5,299,0.00012,valid,0.73,38,11,7.6,7.1
232158,lt2mm,"S Prep, Working Pint Preparation",0.246,0.25,3795,0.00015,valid,0.73,38,11,7.6,7.1
